ID,Tank,Nutrient,Temperature,Scarred,Treatment,Colony
1,4,Control,26,Wounded,Control-26-Wounded,C1
2,4,Control,26,Wounded,Control-26-Wounded,C2
3,4,Control,26,Wounded,Control-26-Wounded,C3
4,4,Control,26,Wounded,Control-26-Wounded,C4
5,4,Control,26,Wounded,Control-26-Wounded,C5
6,12,Control,26,Wounded,Control-26-Wounded,C6
7,12,Control,26,Wounded,Control-26-Wounded,C7
8,12,Control,26,Wounded,Control-26-Wounded,C8
9,12,Control,26,Wounded,Control-26-Wounded,C9
10,12,Control,26,Wounded,Control-26-Wounded,C10
11,4,Control,26,Intact,Control-26-Intact,C1
12,4,Control,26,Intact,Control-26-Intact,C2
13,4,Control,26,Intact,Control-26-Intact,C3
14,4,Control,26,Intact,Control-26-Intact,C4
15,4,Control,26,Intact,Control-26-Intact,C5
16,12,Control,26,Intact,Control-26-Intact,C6
17,12,Control,26,Intact,Control-26-Intact,C7
18,12,Control,26,Intact,Control-26-Intact,C8
19,12,Control,26,Intact,Control-26-Intact,C9
20,12,Control,26,Intact,Control-26-Intact,C10
21,6,Control,29,Wounded,Control-29-Wounded,C1
22,6,Control,29,Wounded,Control-29-Wounded,C2
23,6,Control,29,Wounded,Control-29-Wounded,C3
24,6,Control,29,Wounded,Control-29-Wounded,C4
25,6,Control,29,Wounded,Control-29-Wounded,C5
26,7,Control,29,Wounded,Control-29-Wounded,C6
27,7,Control,29,Wounded,Control-29-Wounded,C7
28,7,Control,29,Wounded,Control-29-Wounded,C8
29,7,Control,29,Wounded,Control-29-Wounded,C9
30,7,Control,29,Wounded,Control-29-Wounded,C10
31,6,Control,29,Intact,Control-29-Intact,C1
32,6,Control,29,Intact,Control-29-Intact,C2
33,6,Control,29,Intact,Control-29-Intact,C3
34,6,Control,29,Intact,Control-29-Intact,C4
35,6,Control,29,Intact,Control-29-Intact,C5
36,7,Control,29,Intact,Control-29-Intact,C6
37,7,Control,29,Intact,Control-29-Intact,C7
38,7,Control,29,Intact,Control-29-Intact,C8
39,7,Control,29,Intact,Control-29-Intact,C9
40,7,Control,29,Intact,Control-29-Intact,C10
41,1,Nitrate,26,Wounded,Nitrate-26-Wounded,C1
42,1,Nitrate,26,Wounded,Nitrate-26-Wounded,C2
43,1,Nitrate,26,Wounded,Nitrate-26-Wounded,C3
44,1,Nitrate,26,Wounded,Nitrate-26-Wounded,C4
45,1,Nitrate,26,Wounded,Nitrate-26-Wounded,C5
46,8,Nitrate,26,Wounded,Nitrate-26-Wounded,C6
47,8,Nitrate,26,Wounded,Nitrate-26-Wounded,C7
48,8,Nitrate,26,Wounded,Nitrate-26-Wounded,C8
49,8,Nitrate,26,Wounded,Nitrate-26-Wounded,C9
50,8,Nitrate,26,Wounded,Nitrate-26-Wounded,C10
51,1,Nitrate,26,Intact,Nitrate-26-Intact,C1
52,1,Nitrate,26,Intact,Nitrate-26-Intact,C2
53,1,Nitrate,26,Intact,Nitrate-26-Intact,C3
54,1,Nitrate,26,Intact,Nitrate-26-Intact,C4
55,1,Nitrate,26,Intact,Nitrate-26-Intact,C5
56,8,Nitrate,26,Intact,Nitrate-26-Intact,C6
57,8,Nitrate,26,Intact,Nitrate-26-Intact,C7
58,8,Nitrate,26,Intact,Nitrate-26-Intact,C8
59,8,Nitrate,26,Intact,Nitrate-26-Intact,C9
60,8,Nitrate,26,Intact,Nitrate-26-Intact,C10
61,2,Nitrate,29,Wounded,Nitrate-29-Wounded,C1
62,2,Nitrate,29,Wounded,Nitrate-29-Wounded,C2
63,2,Nitrate,29,Wounded,Nitrate-29-Wounded,C3
64,2,Nitrate,29,Wounded,Nitrate-29-Wounded,C4
65,2,Nitrate,29,Wounded,Nitrate-29-Wounded,C5
66,9,Nitrate,29,Wounded,Nitrate-29-Wounded,C6
67,9,Nitrate,29,Wounded,Nitrate-29-Wounded,C7
68,9,Nitrate,29,Wounded,Nitrate-29-Wounded,C8
69,9,Nitrate,29,Wounded,Nitrate-29-Wounded,C9
70,9,Nitrate,29,Wounded,Nitrate-29-Wounded,C10
71,2,Nitrate,29,Intact,Nitrate-29-Intact,C1
72,2,Nitrate,29,Wounded,Nitrate-29-Wounded,C2
74,2,Nitrate,29,Intact,Nitrate-29-Intact,C4
75,2,Nitrate,29,Intact,Nitrate-29-Intact,C5
76,9,Nitrate,29,Intact,Nitrate-29-Intact,C6
77,9,Nitrate,29,Intact,Nitrate-29-Intact,C7
78,9,Nitrate,29,Intact,Nitrate-29-Intact,C8
79,9,Nitrate,29,Intact,Nitrate-29-Intact,C9
80,9,Nitrate,29,Intact,Nitrate-29-Intact,C10
81,5,Ammonium,26,Wounded,Ammonium-26-Wounded,C1
82,5,Ammonium,26,Wounded,Ammonium-26-Wounded,C2
83,5,Ammonium,26,Wounded,Ammonium-26-Wounded,C3
84,5,Ammonium,26,Wounded,Ammonium-26-Wounded,C4
85,5,Ammonium,26,Wounded,Ammonium-26-Wounded,C5
86,11,Ammonium,26,Wounded,Ammonium-26-Wounded,C6
87,11,Ammonium,26,Wounded,Ammonium-26-Wounded,C7
88,11,Ammonium,26,Wounded,Ammonium-26-Wounded,C8
89,11,Ammonium,26,Wounded,Ammonium-26-Wounded,C9
90,11,Ammonium,26,Wounded,Ammonium-26-Wounded,C10
91,5,Ammonium,26,Intact,Ammonium-26-Intact,C1
92,5,Ammonium,26,Intact,Ammonium-26-Intact,C2
93,5,Ammonium,26,Intact,Ammonium-26-Intact,C3
94,5,Ammonium,26,Intact,Ammonium-26-Intact,C4
95,5,Ammonium,26,Intact,Ammonium-26-Intact,C5
96,11,Ammonium,26,Intact,Ammonium-26-Intact,C6
97,11,Ammonium,26,Intact,Ammonium-26-Intact,C7
98,11,Ammonium,26,Intact,Ammonium-26-Intact,C8
99,11,Ammonium,26,Intact,Ammonium-26-Intact,C9
100,11,Ammonium,26,Intact,Ammonium-26-Intact,C10
101,3,Ammonium,29,Wounded,Ammonium-29-Wounded,C1
102,3,Ammonium,29,Wounded,Ammonium-29-Wounded,C2
103,3,Ammonium,29,Wounded,Ammonium-29-Wounded,C3
104,3,Ammonium,29,Wounded,Ammonium-29-Wounded,C4
105,3,Ammonium,29,Wounded,Ammonium-29-Wounded,C5
106,10,Ammonium,29,Wounded,Ammonium-29-Wounded,C6
107,10,Ammonium,29,Wounded,Ammonium-29-Wounded,C7
108,10,Ammonium,29,Wounded,Ammonium-29-Wounded,C8
109,10,Ammonium,29,Wounded,Ammonium-29-Wounded,C9
110,10,Ammonium,29,Wounded,Ammonium-29-Wounded,C10
111,3,Ammonium,29,Intact,Ammonium-29-Intact,C1
112,3,Ammonium,29,Intact,Ammonium-29-Intact,C2
113,3,Ammonium,29,Intact,Ammonium-29-Intact,C3
114,3,Ammonium,29,Intact,Ammonium-29-Intact,C4
115,3,Ammonium,29,Intact,Ammonium-29-Intact,C5
116,10,Ammonium,29,Intact,Ammonium-29-Intact,C6
117,10,Ammonium,29,Intact,Ammonium-29-Intact,C7
118,10,Ammonium,29,Intact,Ammonium-29-Intact,C8
119,10,Ammonium,29,Intact,Ammonium-29-Intact,C9
120,10,Ammonium,29,Intact,Ammonium-29-Intact,C10