ID,Surface_area_cm2
1,20.094
2,12.346
3,12.387
4,8.339
5,17.614
6,19.554
7,17.913
8,8.274
9,22.695
10,17.59
11,15.118
12,18.587
13,7.947
14,14.406
15,11.316
16,8.244
17,7.269
18,10.616
19,12.09
20,20.266
21,6.577
22,14.038
23,12.483
24,24.561
26,14.718
27,16.566
28,15.322
29,15.993
30,10.428
31,14.843
32,17.447
33,9.62
34,13.194
35,19.258
36,19.332
37,17.425
38,11.574
39,10.271
40,14.06
41,10.833
42,13.972
43,18.963
44,14.556
45,10.299
46,20.542
47,7.869
48,17.058
49,6.744
50,14.861
51,6.762
52,17.373
53,15.122
54,21.695
107,7.947
55,11.282
56,12.12
57,17.205
58,17.347
59,11.97
61,17.978
62,14.406
63,7.273
64,11.558
65,21.587
66,14.19
67,11.658
68,13.589
69,13.15
70,7.76
71,10.234
72,14.823
74,7.057
75,6.371
76,16.689
77,10.067
78,13.242
79,9.293
80,14.257
81,12.486
82,15.456
83,13.724
84,14.549
85,11.868
86,9.273
87,11.236
88,20.265
89,16.434
90,12.15
91,8.211
92,22.752
93,16.552
94,16.621
95,31.207
96,14.042
97,15.684
98,19.866
99,16.258
100,14.419
101,21.373
102,15.961
103,10.945
104,21.567
105,8.483
106,8.149
108,14.386
109,14.893
110,20.51
112,18.754
113,26.519
114,16.536
115,8.208
116,7.697
117,9.874
118,10.244
119,21.016
120,19.393
25,26.384
111,22.92